ticker,metric,fy,filing,filed,instance_value,instance_tag,sheet_value,sheet_tag,match
KR,total_equity,2018,0001558370-22-004595,2022-03-29,7835000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,7835000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
KR,total_equity,2019,0001558370-22-004595,2022-03-29,8573000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,8573000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
KR,current_assets,2020,0001558370-21-003706,2021-03-30,12503000000.0,AssetsCurrent,12503000000.0,AssetsCurrent,True
KR,current_assets,2019,0001558370-21-003706,2021-03-30,10890000000.0,AssetsCurrent,10890000000.0,AssetsCurrent,True
KR,current_liabilities,2020,0001558370-21-003706,2021-03-30,15366000000.0,LiabilitiesCurrent,15366000000.0,LiabilitiesCurrent,True
KR,current_liabilities,2019,0001558370-21-003706,2021-03-30,14243000000.0,LiabilitiesCurrent,14243000000.0,LiabilitiesCurrent,True
KR,total_equity,2020,0001558370-21-003706,2021-03-30,9550000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,9550000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
KR,total_equity,2019,0001558370-21-003706,2021-03-30,8573000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,8573000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
KR,revenue,2020,0001558370-21-003706,2021-03-30,132498000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,132498000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,True
KR,revenue,2019,0001558370-21-003706,2021-03-30,122286000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,122286000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,True
KR,revenue,2018,0001558370-21-003706,2021-03-30,121852000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,121852000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,True
KR,cost_of_sales,2020,0001558370-21-003706,2021-03-30,101597000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,101597000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,True
